algorithm,noise_level,n_runs,baseline_mean,baseline_std,recovery_threshold_rounds_mean,recovery_threshold_rounds_std,time_to_baseline_rounds_mean,time_to_baseline_rounds_std,max_post_dip_mean,max_post_dip_std,recovered_pct
dreamteam,0.0000,180,0.5160,0.1281,130,39.2428,22.4035,36.7485,0.5315,0.1330,3.8889
dreamteam,0.2000,180,0.5766,0.1282,135.0714,37.2878,31.1333,43.1795,0.4796,0.1189,7.7778
dreamteam,0.4000,180,0.6045,0.1138,133.1379,43.1689,37.6845,45.5027,0.5111,0.1130,16.1111
dreamteam,0.6000,180,0.5694,0.1148,105.6500,42.1991,25.3333,34.1741,0.5383,0.1125,11.1111
dreamteam,0.8000,180,0.5700,0.1219,115.2778,53.8438,22.9941,33.9747,0.5636,0.1204,10.0000
dreamteam,1.0000,180,0.5684,0.1237,86.9091,33.9041,23.5238,34.5846,0.5735,0.1314,6.1111
random,0.0000,180,0.4141,0.0339,123.4545,59.3487,2.1778,1.5861,0.9469,0.0557,6.1111
random,0.2000,180,0.4082,0.0376,77.2857,71.7791,2.1556,1.9457,0.9506,0.0566,3.8889
random,0.4000,180,0.4114,0.0365,83.5000,91.8277,2.1333,1.7317,0.9432,0.0557,2.2222
random,0.6000,180,0.4133,0.0344,83.8571,60.3723,2.3444,2.7530,0.9568,0.0543,3.8889
random,0.8000,180,0.4120,0.0369,50.4000,42.3828,2.3167,1.7984,0.9494,0.0555,2.7778
random,1.0000,180,0.4165,0.0354,99.7500,46.9180,2.2333,2.5851,0.9549,0.0547,6.6667
