algorithm,noise_level,n_runs,baseline_mean,baseline_std,recovery_threshold_rounds_1_mean,recovery_threshold_rounds_1_std,time_to_baseline_rounds_1_mean,time_to_baseline_rounds_1_std,max_dip_1_mean,max_dip_1_std,recovered_pct_1,recovery_threshold_rounds_2_mean,recovery_threshold_rounds_2_std,time_to_baseline_rounds_2_mean,time_to_baseline_rounds_2_std,max_dip_2_mean,max_dip_2_std,recovered_pct_2
bocs,0.0000,180,1.0000,0.0000,1,0.0000,56.0966,17.3478,0.1111,0.0000,100.0000,1,0.0000,53.6159,23.0289,0.1290,0.0442,100.0000
bocs,0.2000,180,0.9173,0.0683,5.9771,10.7377,31.2164,28.5313,0.2160,0.0828,97.2222,1.9777,5.8798,25.8160,29.7724,0.2012,0.0885,99.4444
bocs,0.4000,180,0.7755,0.0941,8.6310,15.8909,19.5385,25.3171,0.3957,0.0991,93.3333,4.4157,11.7774,17.9000,26.2254,0.3704,0.1089,98.8889
bocs,0.6000,180,0.6827,0.0971,7.6000,14.6907,15.0060,21.7301,0.4796,0.1117,97.2222,5.0452,12.9447,16.0066,24.6470,0.4525,0.1145,98.3333
bocs,0.8000,180,0.6369,0.1058,8.9176,18.3185,15.1447,23.2498,0.5407,0.1147,94.4444,5.7443,12.7274,15.3221,22.7312,0.5191,0.1191,97.7778
bocs,1.0000,180,0.5926,0.1139,10.4070,18.9464,12.1613,17.8967,0.5895,0.0983,95.5556,5.7921,13.4087,18.1275,26.0823,0.5599,0.1147,98.8889
combo,0.0000,180,0.7092,0.0904,7.1795,19.1892,7.4267,19.5332,0.3457,0.1088,43.3333,7.3061,22.3127,5.3529,16.8421,0.3660,0.1274,81.6667
combo,0.2000,180,0.6697,0.1053,7.3333,16.9527,7.3333,16.9527,0.3759,0.1250,50.0000,2.7586,9.0156,4.7364,14.7211,0.3957,0.1282,80.5556
combo,0.4000,180,0.6302,0.1088,3.6932,13.7626,3.7241,13.8394,0.4074,0.1203,48.8889,2.0072,7.3045,1.7500,7.2032,0.4247,0.1266,77.2222
combo,0.6000,180,0.6053,0.1268,2.9398,9.5462,2.9398,9.5462,0.4370,0.1358,46.1111,5.4571,16.6359,6.0577,17.6849,0.4586,0.1472,77.7778
combo,0.8000,180,0.5673,0.1316,3.3333,12.3558,3.3579,12.4190,0.4623,0.1500,53.3333,4.8561,16.0900,5.1619,17.4268,0.4907,0.1513,73.3333
combo,1.0000,180,0.5590,0.1381,3.9500,14.6910,3.9798,14.7627,0.4704,0.1509,55.5556,1.6957,4.3674,2.1351,8.0176,0.4802,0.1465,76.6667
dreamteam,0.0000,180,0.5306,0.1238,17.8491,28.6109,24.1613,31.5945,0.5543,0.1192,88.3333,4.1445,12.8677,5.2552,13.9681,0.4772,0.1306,96.1111
dreamteam,0.2000,180,0.5725,0.1114,19.7784,27.4293,24.2937,29.2014,0.5043,0.1116,92.7778,2.5706,7.6668,6.8037,15.4556,0.4074,0.1308,98.3333
dreamteam,0.4000,180,0.5894,0.1117,15.5205,24.2233,22.5987,27.5446,0.5019,0.1142,95.0000,2.0112,7.5509,6,13.9398,0.4105,0.1345,98.8889
dreamteam,0.6000,180,0.5847,0.1212,13.2197,21.1035,21.6810,25.7722,0.5272,0.1187,96.1111,2.5398,8.8155,7.2050,17.8760,0.4228,0.1395,97.7778
dreamteam,0.8000,180,0.5738,0.1144,8.5200,15.6407,14.1006,20.6408,0.5438,0.1212,97.2222,2.3600,7.3837,5.8457,14.4938,0.4494,0.1475,97.2222
dreamteam,1.0000,180,0.5758,0.1267,9.5143,16.7005,17.8720,24.8224,0.5642,0.1165,97.2222,4.8971,14.8378,7.8039,15.6268,0.4765,0.1387,97.2222
neurallinear,0.0000,180,0.9835,0.0401,1.4036,3.4254,8.4444,13.5288,0.1216,0.0346,92.2222,1,0.0000,1,0.0000,0.2185,0.1114,96.1111
neurallinear,0.2000,180,0.8979,0.0863,10.0360,21.2737,25.4412,32.0668,0.2235,0.1010,77.2222,2.6627,8.4118,11.4237,21.1091,0.2716,0.1314,92.2222
neurallinear,0.4000,180,0.7415,0.1032,9.3585,17.6012,17.7519,24.7155,0.4006,0.1268,88.3333,7.7093,16.8609,16.1913,24.8009,0.3975,0.1485,95.5556
neurallinear,0.6000,180,0.6601,0.1096,11.6398,19.6782,19.2121,26.3584,0.4944,0.1199,89.4444,6.8810,16.9606,12.9833,21.8555,0.4914,0.1369,93.3333
neurallinear,0.8000,180,0.6143,0.1113,9.5030,15.3224,16.3310,22.7068,0.5383,0.1225,91.6667,6.1361,15.9344,16.2518,24.4943,0.5247,0.1400,93.8889
neurallinear,1.0000,180,0.5829,0.1109,13.4970,24.0474,20.5694,28.4916,0.5617,0.1301,91.6667,5.8957,13.3239,12.3023,20.7724,0.5623,0.1386,90.5556
neuralts,0.0000,180,0.9999,0.0006,1,0.0000,53.0841,27.2103,0.1117,0.0083,100.0000,1,0.0000,46.1591,33.7783,0.1426,0.0625,100.0000
neuralts,0.2000,180,0.8291,0.0816,13.2710,22.4711,22.8190,27.7026,0.3117,0.0880,86.1111,9,20.2696,20.8396,27.5882,0.3389,0.0998,93.8889
neuralts,0.4000,180,0.7264,0.0947,11.4423,21.5946,18.9556,25.4939,0.4173,0.0966,86.6667,6.5153,16.7816,21.2632,27.6214,0.4327,0.1142,90.5556
neuralts,0.6000,180,0.6528,0.1040,12.6369,22.2792,16.4097,23.5928,0.5049,0.1053,87.2222,8.3771,17.6093,21.1679,29.2436,0.5012,0.1136,97.2222
neuralts,0.8000,180,0.6170,0.1227,10.0479,17.7580,14.1467,20.6054,0.5247,0.1227,92.7778,7.4524,16.4520,14.9167,22.5490,0.5401,0.1088,93.3333
neuralts,1.0000,180,0.5849,0.1123,10.5799,19.8058,12.8366,21.0549,0.5605,0.0974,93.8889,8,19.3240,16.8855,25.7086,0.5494,0.1081,92.2222
neuralucb,0.0000,180,0.9784,0.0458,4.4773,15.0401,49.8421,37.9042,0.1228,0.0362,97.7778,1.3722,3.2905,38.4667,34.1397,0.1870,0.0883,100.0000
neuralucb,0.2000,180,0.8789,0.0913,13.2047,22.8843,25.6720,27.0405,0.2407,0.0906,95.0000,4.6193,12.3282,18.3889,25.3638,0.2704,0.1011,97.7778
neuralucb,0.4000,180,0.7173,0.1066,13.3471,20.3104,21.4510,26.1649,0.4284,0.1133,94.4444,5.0640,11.1424,13.2015,20.3772,0.4358,0.1251,95.5556
neuralucb,0.6000,180,0.6579,0.1110,11.0182,18.2090,17.3121,22.5376,0.5025,0.1053,91.6667,6.5030,12.2188,14.6028,20.8415,0.5105,0.1263,93.8889
neuralucb,0.8000,180,0.6065,0.1170,10.2299,17.1361,13.8562,20.6601,0.5531,0.1174,96.6667,6.7953,13.4898,14.7762,22.2914,0.5494,0.1280,95.0000
neuralucb,1.0000,180,0.5834,0.1058,10.8639,20.2323,17.0321,23.8994,0.5704,0.1060,93.8889,7.0872,14.7869,13.4564,20.6163,0.5772,0.1340,95.5556
random,0.0000,180,0.4141,0.0339,1.7556,1.0444,2.1556,1.9342,0.9475,0.0592,100.0000,1.4889,1.0166,2.1667,1.8109,0.9475,0.0556,100.0000
random,0.2000,180,0.4082,0.0376,1.6222,0.9404,1.9667,1.6542,0.9463,0.0557,100.0000,1.3722,0.7625,2.1167,1.7313,0.9488,0.0555,100.0000
random,0.4000,180,0.4114,0.0365,1.6778,0.9668,2.1500,1.8715,0.9463,0.0581,100.0000,1.3667,0.8181,1.8889,1.2457,0.9512,0.0553,100.0000
random,0.6000,180,0.4133,0.0344,1.7889,1.2506,2.3389,2.7384,0.9512,0.0553,100.0000,1.3556,0.9608,1.9111,1.6419,0.9469,0.0557,100.0000
random,0.8000,180,0.4120,0.0369,1.8222,1.1778,2.2222,1.6530,0.9463,0.0557,100.0000,1.4667,1.0050,2.2222,1.7705,0.9469,0.0569,100.0000
random,1.0000,180,0.4165,0.0354,1.9222,1.5151,2.2889,1.8775,0.9420,0.0557,100.0000,1.4222,0.8320,2.0778,1.7026,0.9444,0.0569,100.0000
